calle,municipio,n_baches_acumulado,m2_acumulado
San Martin,Las Piedras,17,1142.91
Juana de Arco,Las Piedras,15,888.48
Arnal de Artigas,Las Piedras,17,668.61
Banda Oriental,Las Piedras,16,665.19
Washington,Las Piedras,17,633.66
Barrios Unidos,Las Piedras,21,554.84
Elías Regules,Las Piedras,23,545.95
Dr. Luis Bruno,Las Piedras,16,523.15
A Poquitos - Ing. Lindolfo Giménez,Las Piedras,10,511.52
Juan Díaz de Solís,Las Piedras,6,480.29
Luis Braile,Las Piedras,11,398.86
Américo Vespucio,Las Piedras,4,354.04
Ing. Lindolfo Giménez,Las Piedras,5,342.38
Cerrillos,Las Piedras,7,318.78
Blandengues,Las Piedras,4,314.91
Treinta y Tres,La Paz,8,308.87
Rincón,La Paz,7,307.96
San Ramón,Las Piedras,5,250.7
Dr. Emilio Andreo,La Paz,7,237.51
Doc. René Favaloro,Las Piedras,4,192.68
San Ramon,Las Piedras,6,168.83
Sauce,Las Piedras,1,158.13
Camino Moreira,Las Piedras,1,128.86
Conrado Moller,La Paz,2,106.28
Rivera,Las Piedras,3,58.72
Líber Seregni,Las Piedras,1,34.54
Magallanes,Las Piedras,1,32.34
