mes,municipio,calle,n_baches,m2_mes,toneladas_mes,porcentaje_mes
Enero-Febrero,Las Piedras,Elías Regules,23,545.95,104.82,51.3%
Enero-Febrero,Las Piedras,Dr. Luis Bruno,14,484.11,92.95,45.5%
Enero-Febrero,Las Piedras,Líber Seregni,1,34.54,6.63,3.2%
Marzo,Las Piedras,Banda Oriental,12,561.13,109.98,69.1%
Marzo,Las Piedras,Barrios Unidos,14,251.42,49.28,30.9%
Abril,Las Piedras,Ing. Lindolfo Giménez,5,342.38,67.11,36.3%
Abril,Las Piedras,Barrios Unidos,7,303.42,59.47,32.2%
Abril,Las Piedras,Doc. René Favaloro,4,192.68,37.76,20.4%
Abril,Las Piedras,Banda Oriental,4,104.06,20.40,11.0%
Mayo,Las Piedras,Washington,17,633.66,124.20,55.7%
Mayo,Las Piedras,A Poquitos - Ing. Lindolfo Giménez,5,374.49,73.40,32.9%
Mayo,Las Piedras,Camino Moreira,1,128.86,25.26,11.3%
Junio,Las Piedras,San Martin,17,1142.91,224.01,50.3%
Junio,Las Piedras,Arnal de Artigas,7,270.62,53.04,11.9%
Junio,Las Piedras,Juana de Arco,4,216.11,42.36,9.5%
Junio,Las Piedras,Américo Vespucio,3,169.35,33.19,7.5%
Junio,Las Piedras,Sauce,1,158.13,30.99,7.0%
Junio,Las Piedras,Blandengues,2,138.05,27.06,6.1%
Junio,Las Piedras,A Poquitos - Ing. Lindolfo Giménez,5,137.03,26.86,6.0%
Junio,Las Piedras,Dr. Luis Bruno,2,39.04,7.65,1.7%
Julio,Las Piedras,Juana de Arco,9,596.25,116.87,20.9%
Julio,Las Piedras,Juan Díaz de Solís,6,480.29,94.14,16.8%
Julio,Las Piedras,Arnal de Artigas,10,397.99,78.01,13.9%
Julio,La Paz,Treinta y Tres,8,308.87,42.99,10.8%
Julio,La Paz,Rincón,7,307.96,37.73,10.8%
Julio,La Paz,Dr. Emilio Andreo,7,237.51,29.09,8.3%
Julio,Las Piedras,Cerrillos,6,182.13,35.70,6.4%
Julio,Las Piedras,San Ramon,6,168.83,33.09,5.9%
Julio,La Paz,Conrado Moller,2,106.28,13.02,3.7%
Julio,Las Piedras,Luis Braile,4,70.05,13.73,2.5%
Agosto,Las Piedras,Luis Braile,7,328.81,40.28,26.4%
Agosto,Las Piedras,San Ramón,5,250.70,30.71,20.1%
Agosto,Las Piedras,Américo Vespucio,1,184.69,22.62,14.8%
Agosto,Las Piedras,Blandengues,2,176.86,21.67,14.2%
Agosto,Las Piedras,Cerrillos,1,136.65,16.74,11.0%
Agosto,Las Piedras,Juana de Arco,2,76.12,9.32,6.1%
Agosto,Las Piedras,Rivera,3,58.72,11.51,4.7%
Agosto,Las Piedras,Magallanes,1,32.34,3.96,2.6%
